Season,Team,Matches,Wins,Loses,Draws,Points,GF,GA
2015-16,Napoli,19,16,0,3,51,49,12
2015-16,Juventus,19,16,1,2,50,37,6
2015-16,Roma,19,13,1,5,44,44,17
2015-16,Inter,19,13,4,2,41,29,15
2015-16,Fiorentina,19,11,3,5,38,34,16
2015-16,Milan,19,9,4,6,33,28,22
2015-16,Genoa,19,10,6,3,33,29,19
2015-16,Lazio,19,10,6,3,33,32,23
2015-16,Sassuolo,19,8,3,8,32,25,20
2015-16,Atalanta,19,8,5,6,30,27,21
2015-16,ChievoVerona,19,7,4,8,29,25,18
2015-16,Sampdoria,19,8,7,4,28,29,25
2015-16,Empoli,19,7,6,6,27,22,20
2015-16,Torino,19,6,7,6,24,25,25
2015-16,Carpi,19,6,8,5,23,23,26
2015-16,Palermo,19,6,9,4,22,24,30
2015-16,Frosinone,19,6,9,4,22,18,26
2015-16,Udinese,19,6,9,4,22,18,28
2015-16,Bologna,19,5,9,5,20,20,21
2015-16,Hellas Verona,19,4,9,6,18,21,30
2016-17,Juventus,19,18,0,1,55,48,9
2016-17,Roma,19,16,2,1,49,50,18
2016-17,Napoli,19,13,2,4,43,44,19
2016-17,Atalanta,19,12,3,4,40,31,18
2016-17,Milan,19,12,5,2,38,32,20
2016-17,Lazio,19,12,5,2,38,40,23
2016-17,Fiorentina,19,10,1,8,38,34,23
2016-17,Cagliari,19,11,5,3,36,38,34
2016-17,Inter,19,11,5,3,36,44,22
2016-17,Torino,19,9,2,8,35,43,31
2016-17,Sampdoria,19,8,5,6,30,28,23
2016-17,Udinese,19,8,6,5,29,30,23
2016-17,Bologna,19,8,9,2,26,24,25
2016-17,Genoa,19,6,6,7,25,24,24
2016-17,Sassuolo,19,7,9,3,24,27,28
2016-17,ChievoVerona,19,6,8,5,23,25,30
2016-17,Crotone,19,6,9,4,22,21,25
2016-17,Empoli,19,5,10,4,19,16,29
2016-17,Palermo,19,4,12,3,15,13,30
2016-17,Pescara,19,2,12,5,11,19,38
2017-18,Juventus,19,16,2,1,49,45,8
2017-18,Napoli,19,14,2,3,45,43,18
2017-18,Sampdoria,19,12,4,3,39,36,20
2017-18,Inter,19,11,3,5,38,37,16
2017-18,Roma,19,11,6,2,35,31,19
2017-18,Milan,19,10,4,5,35,25,16
2017-18,Atalanta,19,9,4,6,33,30,18
2017-18,Lazio,19,9,5,5,32,45,21
2017-18,Torino,19,8,5,6,30,29,18
2017-18,Fiorentina,19,8,6,5,29,27,22
2017-18,ChievoVerona,19,7,6,6,27,22,24
2017-18,Crotone,19,6,7,6,24,23,25
2017-18,SPAL,19,5,6,8,23,22,29
2017-18,Bologna,19,6,9,4,22,25,26
2017-18,Genoa,19,6,10,3,21,23,27
2017-18,Cagliari,19,6,10,3,21,18,30
2017-18,Udinese,19,6,11,2,20,24,30
2017-18,Sassuolo,19,4,8,7,19,11,22
2017-18,Benevento,19,5,12,2,17,23,40
2017-18,Hellas Verona,19,5,13,1,16,14,35
2018-19,Juventus,19,15,0,4,49,39,13
2018-19,Napoli,19,13,2,4,43,41,16
2018-19,Roma,19,12,2,5,41,43,26
2018-19,Milan,19,12,3,4,40,31,17
2018-19,Torino,19,12,5,2,38,32,19
2018-19,Inter,19,11,3,5,38,27,10
2018-19,Atalanta,19,10,4,5,35,36,19
2018-19,Lazio,19,9,5,5,32,36,25
2018-19,Sampdoria,19,10,7,2,32,28,16
2018-19,Bologna,19,9,6,4,31,28,22
2018-19,Empoli,19,9,7,3,30,33,30
2018-19,Cagliari,19,8,5,6,30,23,20
2018-19,Udinese,19,8,6,5,29,22,22
2018-19,Genoa,19,6,5,8,26,21,22
2018-19,Sassuolo,19,5,4,10,25,33,33
2018-19,Fiorentina,19,5,5,9,24,25,19
2018-19,SPAL,19,5,7,7,22,20,26
2018-19,Parma,19,5,7,7,22,18,25
2018-19,ChievoVerona,19,1,11,7,10,14,37
2018-19,Frosinone,19,1,12,6,9,14,38
2019-20,Juventus,19,16,1,2,50,46,17
2019-20,Lazio,19,14,2,3,45,46,17
2019-20,Inter,19,11,2,6,39,40,17
2019-20,Atalanta,19,12,5,2,38,51,26
2019-20,Roma,19,10,5,4,34,36,27
2019-20,Napoli,19,10,6,3,33,31,24
2019-20,Milan,19,9,4,6,33,31,20
2019-20,Hellas Verona,19,9,5,5,32,29,25
2019-20,Sassuolo,19,8,8,3,27,44,33
2019-20,Cagliari,19,7,8,4,25,32,28
2019-20,Torino,19,7,8,4,25,23,30
2019-20,Udinese,19,6,7,6,24,18,23
2019-20,Fiorentina,19,5,6,8,23,22,22
2019-20,Bologna,19,5,6,8,23,25,29
2019-20,Parma,19,7,10,2,23,26,24
2019-20,Sampdoria,19,6,9,4,22,25,30
2019-20,Genoa,19,7,11,1,22,24,31
2019-20,Lecce,19,4,10,5,17,30,41
2019-20,Brescia,19,3,11,5,14,21,34
2019-20,SPAL,19,2,13,4,10,16,40
2020-21,Inter,19,17,1,1,52,53,18
2020-21,Juventus,19,14,3,2,44,40,18
2020-21,Roma,19,13,2,4,43,42,18
2020-21,Lazio,19,13,3,3,42,36,23
2020-21,Napoli,19,12,3,4,40,50,20
2020-21,Atalanta,19,12,4,3,39,49,24
2020-21,Milan,19,8,5,6,30,31,24
2020-21,Sampdoria,19,9,7,3,30,32,26
2020-21,Sassuolo,19,7,4,8,29,31,27
2020-21,Bologna,19,7,7,5,26,33,33
2020-21,Fiorentina,19,6,7,6,24,25,25
2020-21,Hellas Verona,19,6,7,6,24,23,23
2020-21,Genoa,19,5,7,7,22,29,30
2020-21,Spezia,19,5,7,7,22,28,33
2020-21,Cagliari,19,5,10,4,19,22,32
2020-21,Udinese,19,5,10,4,19,14,19
2020-21,Torino,19,3,7,9,18,25,36
2020-21,Crotone,19,5,12,2,17,23,35
2020-21,Benevento,19,2,10,7,13,19,39
2020-21,Parma,19,2,12,5,11,16,39
2021-22,Inter,19,14,2,3,45,48,16
2021-22,Fiorentina,19,13,4,2,41,38,20
2021-22,Milan,19,12,3,4,40,28,12
2021-22,Napoli,19,11,5,3,36,37,16
2021-22,Roma,19,10,3,6,36,26,16
2021-22,Lazio,19,10,3,6,36,42,25
2021-22,Juventus,19,10,4,5,35,25,14
2021-22,Hellas Verona,19,9,7,3,30,34,25
2021-22,Torino,19,8,6,5,29,29,21
2021-22,Bologna,19,8,7,4,28,25,24
2021-22,Udinese,19,6,6,7,25,31,29
2021-22,Sassuolo,19,6,7,6,24,27,30
2021-22,Sampdoria,19,6,10,3,21,29,32
2021-22,Atalanta,19,4,7,8,20,31,29
2021-22,Spezia,19,5,11,3,18,21,30
2021-22,Empoli,19,4,10,5,17,28,44
2021-22,Genoa,19,3,8,8,17,14,25
2021-22,Cagliari,19,3,10,6,15,20,33
2021-22,Salernitana,19,3,10,6,15,17,39
2021-22,Venezia,19,3,11,5,14,21,38
2022-23,Napoli,19,14,2,3,45,40,15
2022-23,Milan,19,13,2,4,43,41,20
2022-23,Juventus,19,13,3,3,42,38,15
2022-23,Inter,19,14,5,0,42,37,14
2022-23,Lazio,19,11,4,4,37,32,18
2022-23,Roma,19,11,5,3,36,28,15
2022-23,Atalanta,19,10,6,3,33,38,26
2022-23,Fiorentina,19,9,4,6,33,30,22
2022-23,Bologna,19,7,3,9,30,24,14
2022-23,Sassuolo,19,8,7,4,28,24,23
2022-23,Empoli,19,8,7,4,28,22,23
2022-23,Salernitana,19,7,6,6,27,30,26
2022-23,Udinese,19,6,4,9,27,30,20
2022-23,Monza,19,7,7,5,26,25,22
2022-23,Torino,19,5,7,7,22,15,19
2022-23,Hellas Verona,19,6,10,3,21,20,32
2022-23,Spezia,19,4,7,8,20,18,30
2022-23,Lecce,19,3,8,8,17,18,24
2022-23,Cremonese,19,4,11,4,16,15,31
2022-23,Sampdoria,19,1,11,7,10,12,28
